"文件名","标题","作者","期刊名","年份","卷号","期号","页码","DOI","关键词","摘要"
"Clathrate Type Inclusion Behaviour of a Coordination Macrocycle - J Am Chem Soc - Vol112 - 1990 - Fujita et al.pdf","Preparation of a Macrocyclic Polynuclear Complex, [(en)Pd(4,4'-bpy)]₄(NO₃)₈, Which Recognizes an Organic Molecule in Aqueous Media","Makoto Fujita, Jun Yazaki, Katsuyuki Ogura","Journal of the American Chemical Society","1990","112","14","5645-5647","10.1021/ja00170a042","Macrocyclic complex, Palladium(II), 4,4'-Bipyridine, Molecular recognition, Aqueous media, Self-assembly, Coordination macrocycle, Clathrate inclusion, Ethylenediamine","A novel macrocyclic polynuclear Pd(II) complex, [(en)Pd(4,4'-bpy)]₄(NO₃)₈ (1), was prepared by simply mixing (en)Pd(NO₃)₂ with 4,4'-bipyridine in aqueous solution. The square-planar Pd atoms are bridged by 4,4'-bpy ligands to form a macrocyclic tetramer with an inner cavity (7.8 x 7.8 x 6.5 A) surrounded by pi electrons of eight pyridine nuclei. The complex recognizes organic molecules such as 1,3,5-trimethoxybenzene in aqueous media through hydrophobic clathrate-type inclusion, with an association constant (Ka) of 7.5 x 10² L/mol at 25 degrees C. This represents one of the earliest examples of coordination-driven self-assembly of discrete macrocyclic structures."
"Combining Synthesis and Self-Assembly in One Pot 2D Metallo-Supramolecules - J Am Chem Soc - Vol141 - 2019 - Wang et al (b).pdf","Combining Synthesis and Self-Assembly in One Pot To Construct Complex 2D Metallo-Supramolecules Using Terpyridine and Pyrylium Salts","Heng Wang, Yiming Li, Hao Yu, Bo Song, Shuai Lu, Xin-Qi Hao, Yuan Zhang, Ming Wang, Saw-Wai Hla, Xiaopeng Li","Journal of the American Chemical Society","2019","141","33","13187-13195","10.1021/jacs.9b05682","one-pot synthesis, self-assembly, terpyridine, pyrylium salt, Kandinsky Circles, spiderweb, metallo-supramolecules, multicomponent assembly, coordination-driven self-assembly, 2D supramolecular architecture","Multicomponent self-assembly in one pot provides an efficient way for constructing complex architectures using multiple types of building blocks with different levels of interactions orthogonally. The preparation of multiple types of building blocks typically includes tedious synthesis. Here, we developed a multicomponent synthesis/self-assembly strategy, which combined covalent interaction (C-N bond, formed through condensation of pyrylium salt with primary amine) and metal-ligand interaction (N to Zn bond, formed through 2,2':6',2''-terpyridine-Zn coordination) in one pot. The high compatibility of this pair of interactions smoothly and efficiently converted three and four types of components into the desired complex structures, which are supramolecular Kandinsky Circles and spiderwebs, respectively."
"Conformer-Dependent Self-Assembled Metallacycles with Photo-Reversible Response - Chem Sci - Vol10 - 2019 - Li et al.pdf","Conformer-Dependent Self-Assembled Metallacycles with Photo-Reversible Response","Mengqi Li, Li-Jun Chen, Zhipeng Zhang, Qianfu Luo, Hai-Bo Yang, He Tian, Wei-Hong Zhu","Chemical Science","2019","10","19","4896-4904","10.1039/C9SC00757A","Diarylethene (DAE), Photochromism, Conformer-dependent self-assembly, Metallacycles, Photo-reversible response, Coordination-driven self-assembly, Platinum(II), Anti-parallel conformer, Parallel conformer, Fatigue resistance","Discrete, well-defined metallacycles and metallacages with stimuli-responsive behaviors have been largely predominated by the organic donor/metal acceptor paradigm with spontaneous formation of coordination bonds. However, light-driven self-assembly systems usually show relatively low utilization yield of photons and low fatigue resistance. Given that almost no example illustrates the different self-assembly behaviors of antiparallel and parallel conformers in the traditional photochromic diarylethene (DAE) system, here we have for the first time constructed a unique series of photoactive conformer-dependent metallacycles, focusing on the characterization and comparison of self-assembly behavior in different ligand conformers with different di-platinum(II) acceptors. Their photoswitchable scaffold sizes and shapes are precisely controlled by photochromically separable parallel or anti-parallel conformers via coordination-driven self-assembly. The ap-conformer and closed form provide larger bending angles upon coordination with di-Pt(II) acceptors into hexagon [6+6] or [3+3] while the p-conformer only can form smaller polygon cycles. Notably, in contrast with the non-photoactive parallel conformer, the reversible interconversion of anti-parallel ring-open and ring-closed conformer metallacycles can be achieved by alternate irradiation with UV and visible light, respectively, along with a relatively high conversion ratio and good fatigue resistance."
"Constructing High-Generation Sierpinski Triangles by Molecular Puzzling - Angew Chem Int Ed - Vol56 - 2017 - Jiang et al.pdf","Constructing High-Generation Sierpinski Triangles by Molecular Puzzling","Zhilong Jiang, Yiming Li, Ming Wang, Die Liu, Jie Yuan, Mingzhao Chen, Jun Wang, George R. Newkome, Wei Sun, Xiaopeng Li, Pingshan Wang","Angewandte Chemie International Edition","2017","56","38","11450-11455","10.1002/anie.201705480","modular strategies, self-assembly, Sierpinski triangles, supramolecular chemistry, terpyridines","Three generations of metalated trigonal supramolecular architectures, so-called metallo-triangles, were assembled from terpyridine (tpy) complexes. The first generation (G1) metallo-triangles were directly obtained by reacting a bis(terpyridinyl) ligand with a 60-degree bite angle and Zn(II) ions. The direct self-assembly of G2 and G3 triangles by mixing organic ligands and Zn(II), however, only generated a mixture of G1 and G2, as well as a trace amount of insoluble polymer-like precipitate. Therefore, a modular strategy based on the connectivity of <tpy-Ru(II)-tpy> was employed to construct two metallo-organic ligands for the assembly of G2 and G3 Sierpinski triangles. The metallo-organic ligands LA and LB with multiple free terpyridines were obtained through Suzuki cross-coupling of the Ru(II) complexes, and then assembled with Zn(II) or Cd(II) to obtain high-generation metallo-triangular architectures in nearly quantitative yield. The G1-G3 architectures were characterized by NOESY and DOSY NMR spectroscopy, ESI-MS, TWIM-MS, and transmission electron microscopy."
"Coordination-Driven Self-Assembly with Terpyridine Metal Ions - Dalton Trans - 2009 - Chan et al.pdf","Ni(II), Co(II), Cu(II), Zn(II) and Na(I) Complexes of a Hybrid Ligand 4'-(4'''-Benzo-15-crown-5)-methyloxy-2,2':6',2''-terpyridine","Nadezhda M. Logacheva, Vladimir E. Baulin, Aslan Yu. Tsivadze, Elena N. Pyatova, Irina S. Ivanova, Yurii A. Velikodny, Vladimir V. Chernyshev","Dalton Transactions","2009","-","14","2482-2489","10.1039/b819805e","hybrid ligand, terpyridine, benzo-15-crown-5, metal complexes, crystal structure, powder diffraction, pi-pi interactions, coordination chemistry","Eleven complexes of a hybrid ligand 4'-(4'''-benzo-15-crown-5)-methyloxy-2,2':6',2''-terpyridine (L) were synthesized and characterised by elemental analysis, IR-spectroscopy and X-ray analysis. The crystal structures of seven complexes were determined either from single-crystal data ([NaNCS*L] and [CuL2*NaNCS*Na(NCS)2]+*NCS-*CH3CN) or from powder diffraction data ([CoL2]2+*2NCS- and [ML2]2+*2PF6-*nEtOH*mH2O, M = Ni(II), Co(II), Cu(II), Zn(II)) and revealed good coordinating properties of the ligand L and structural diversity of the obtained compounds. In compounds 1-5, the pi-pi interactions between pyridine rings or between pyridine and benzene rings play an important role in association of the cations."
"Crown-Ether-Derived Organoplatinum Rectangles Poly2pseudorotaxanes - J Am Chem Soc - Vol130 - 2008 - Ghosh et al.pdf","Coordination-Driven Self-Assembly of Cavity-Cored Multiple Crown Ether Derivatives and Poly[2]pseudorotaxanes","Koushik Ghosh, Hai-Bo Yang, Brian H. Northrop, Matthew M. Lyndon, Yao-Rong Zheng, David C. Muddiman, Peter J. Stang","Journal of the American Chemical Society","2008","130","15","5320-5334","10.1021/ja711502t","Crown ether, Coordination-driven self-assembly, Poly[2]pseudorotaxanes, Platinum(II), Metallacyclic polygons, Dibenzo[24]crown-8 (DB24C8), Dibenzylammonium, Host-guest chemistry, Orthogonal self-assembly, Rhomboid, Hexagon","The synthesis of a new 120 degree diplatinum(II) acceptor unit and the self-assembly of a series of two-dimensional metallacyclic polypseudorotaxanes that utilize both metal-ligand and crown ether-dialkylammonium noncovalent interactions are described. Judiciously combining complementary diplatinum(II) acceptors with bispyridyl donor building blocks, with an acceptor and/or donor possessing a pendant dibenzo[24]crown-8 (DB24C8) moiety, allows for the formation of three new rhomboidal bis-DB24C8, one new hexagonal tris-DB24C8, and four new hexakis-DB24C8 metallacyclic polygons in quantitative yields. The size and shape of each assembly, as well as the location and stoichiometry of the DB24C8 macrocycle, can be precisely controlled. Each polygon is able to complex two, three, or six dibenzylammonium ions without disrupting the underlying metallacyclic polygons, thus producing eight different poly[2]pseudorotaxanes and demonstrating the utility and scope of this orthogonal self-assembly technique."
"Direct Self-Assembly of a 2D and 3D Star of David - Angew Chem - Vol129 - 2017 - Song et al.pdf","Direct Self-Assembly of a 2D and 3D Star of David","Bo Song, Zhe Zhang, Kun Wang, Chih-Hao Hsu, Olapeju Bolarinwa, Jing Wang, Yiming Li, Guang-Qiang Yin, Edwin Rivera, Hai-Bo Yang, Changlin Liu, Bingqian Xu, Xiaopeng Li","Angewandte Chemie International Edition","2017","56 (Int. Ed.) / 129 (German Ed.)","19","5258-5262 (Int. Ed.) / 5342-5346 (German Ed.)","10.1002/anie.201701417","ion-mobility mass spectrometry, metallosupramolecules, multitopic ligands, self-assembly, supramolecular chemistry","Two- and three-dimensional metallosupramolecules shaped like a Star of David were synthesized by the self-assembly of a tetratopic pyridyl ligand with a 180° diplatinum(II) motif and PdII ions, respectively. In contrast to other strategies, such as template-directed synthesis and stepwise self-assembly, this design enables the formation of 2D and 3D structures in one step and high yield. The structures were characterized by both one-dimensional (1H, 13C, 31P) and two-dimensional (COSY, NOESY, DOSY) NMR spectroscopy, ESI-MS, ion-mobility mass spectrometry (IM-MS), AFM, and TEM. The stabilities of the 2D and 3D structures were measured and compared by gradient tandem mass spectrometry (gMS2). The high stability of the 3D Star of David was correlated to its high density of coordination sites (DOCS)."
"Dynamic Equilibria of Ethynylplatinum(II) Complexes Rhomboid-Hexagon - J Am Chem Soc - Vol125 - 2003 - Yamamoto and Stang.pdf","Dynamic Equilibrium of a Supramolecular Dimeric Rhomboid and Trimeric Hexagon and Determination of Its Thermodynamic Constants","Takuya Yamamoto, Atta M. Arif, Peter J. Stang","Journal of the American Chemical Society","2003","125","40","12309-12317","10.1021/ja0302984","supramolecular chemistry, self-assembly, dynamic equilibrium, platinum coordination, rhomboid, hexagon, thermodynamic constants, directional bonding","A supramolecular dimeric rhomboid and its trimeric counterpart, a hexagon, are generated by design via the directional bonding methodology of self-assembly. The different-sized supramolecular macrocycles formed by Pt-coordination undergo a concentration- and temperature-dependent dynamic equilibrium. The two structures are characterized by multinuclear NMR and ESI-MS. Extensive study of the dynamic equilibrium of the two species in solution is performed to obtain its thermodynamic properties. By varying the ionic strength of the solutions, the true thermodynamic equilibrium constant K is determined at each experimental temperature. By applying these values to the van't Hoff equation, the standard enthalpy and entropy changes are determined: ΔH° = -18 ± 1 kJ/mol and ΔS° = -43 ± 4 J/(mol·K) for the forward reaction (rhomboid to hexagon). The rhomboid is selectively crystallized, and its crystal structure is determined by X-ray diffraction."
"Facile Self-Assembly of Ring-in-Ring and Spiderweb Structures - Angew Chem Int Ed - Vol54 - 2015 - Fu et al.pdf","Facile Self-Assembly of Metallo-Supramolecular Ring-in-Ring and Spiderweb Structures Using Multivalent Terpyridine Ligands","Jun-Hao Fu, Yin-Hsuan Lee, Yun-Jui He, Yi-Tsu Chan","Angewandte Chemie International Edition","2015","54","21","6231-6235","10.1002/anie.201501507","cadmium, multivalency, self-sorting, supramolecular chemistry, terpyridines","A series of metallo-supramolecular ring-in-ring structures was generated by assembling CdII ions and the multivalent terpyridine ligands (L1-3) composed of one 60°-bent and two 120°-bent bis(terpyridine)s with varying alkyl linker lengths. The mechanistic study for the self-assembly process excluded an entropically templated pathway and showed that the intramolecularly complexed species is the key intermediate leading to ring-in-ring formation. The next-generation superstructure, a spiderweb, was produced in quantitative yield using the elongated decakis(terpyridine) ligand (L5)."
"Facile Synthesis of Multicomponent Heterobimetallic Metallomacrocycles - Chem Commun - Vol55 - 2019 - Tai et al.pdf","Facile Synthesis of Multicomponent Heterobimetallic Metallomacrocycles through Selective Metal-Ligand Coordination","Chang-You Tai, Jun-Hao Fu, Yin-Hsuan Lee, Yun-Jui He, Shi-Cheng Wang, Yi-Tsu Chan","Chemical Communications","2019","55","44","6289-6292","10.1039/c9cc02430a","heterobimetallic metallomacrocycles, selective metal-ligand coordination, multicomponent self-assembly, terpyridine, pyridine","Three heterobimetallic metallomacrocycles were readily assembled through either a stepwise or a one-pot protocol by selective complexation of ZnII ions and PdII or PtII acceptors with the predesigned ligands possessing one 60°-bent bisterpyridine and two mono- or bis-pyridines. In the multicomponent self-assembly, the preorganized ZnII-terpyridine metallo-triangle led to the formation of the exterior macrocycles."
"From Ring-in-Ring to Sphere-in-Sphere Self-Assembly 2D and 3D - J Am Chem Soc - Vol137 - 2015 - Wang et al.pdf","From Ring-in-Ring to Sphere-in-Sphere: Self-Assembly of Discrete 2D and 3D Architectures with Increasing Stability","Bin Sun, Ming Wang, Zhichao Lou, Mingjun Huang, Chenglong Xu, Xiaohong Li, Li-Jun Chen, Yihua Yu, Grant L. Davis, Bingqian Xu, Hai-Bo Yang, Xiaopeng Li","Journal of the American Chemical Society","2015","137","4","1556-1564","10.1021/ja511443p","coordination-driven self-assembly, ring-in-ring, sphere-in-sphere, density of coordination sites (DOCS), metallosupramolecules, multitopic ligands, supramolecular metallogels","Directed by increasing the density of coordination sites (DOCS) to increase the stability of assemblies, discrete 2D ring-in-rings and 3D sphere-in-sphere were designed and self-assembled by one tetratopic pyridyl-based ligand with 180° diplatinum(II) acceptors and naked Pd(II), respectively. The high DOCS resulted by multitopic ligand provided more geometric constraints to form discrete structures with high stability. Compared to reported supramolecular hexagons and polyhedra by ditopic ligands, the self-assembly of such giant architectures using multitopic ligands with all rigid backbone emphasized the structural integrity with precise preorganization of entire architecture, and required elaborate synthetic operations for ligand preparation. In-depth structural characterization was conducted to support desired structures, including multinuclear NMR (1H, 31P, and 13C) analysis, 2D NMR spectroscopy (COSY and NOESY), diffusion-ordered NMR spectroscopy (DOSY), multidimensional mass spectrometry, TEM and AFM. Furthermore, a quantitative definition of DOCS was proposed to compare 2D and 3D structures and correlate the DOCS and stability of assemblies in a quantitative manner. Finally, ring-in-rings in DMSO or DMF could undergo hierarchical self-assembly into the ordered nanostructures and generated translucent supramolecular metallogels."
"Giant Hollow 2D Metalloarchitecture Hexagonal Supramolecular Nut - J Am Chem Soc - Vol138 - 2016 - Song et al.pdf","Giant, Hollow 2D Metalloarchitecture: Stepwise Self-Assembly of a Hexagonal Supramolecular Nut","Yiming Li, Zhilong Jiang, Ming Wang, Jie Yuan, Die Liu, Xiaoyu Yang, Mingzhao Chen, Jun Yan, Xiaopeng Li, Pingshan Wang","Journal of the American Chemical Society","2016","138","31","10041-10046","10.1021/jacs.6b06021","stepwise self-assembly, terpyridine, metalloarchitecture, hexagonal supramolecular nut, Star of David, metallo-organic ligand","A polyterpyridinyl building block-based nutlike hexagonal bismetallo architecture with a central hollow Star of David was assembled by a stepwise strategy. This nanoarchitecture can be viewed as a recursive mathematical form that possesses a supramolecular corner-connected cyclic structure, i.e., a triangle or rhombus at various levels of scale or detail. The key metallo-organic ligand (MOL) with four uncomplexed free terpyridines was obtained by a final Suzuki cross-coupling reaction with a tetrabromoterpyridine Ru dimer. The molecular metallorhombus was prepared by reacting the MOL with a 60° bis-terpyridine and Fe2+. The giant hollow hexagonal nut with a diameter of more than 11 nm and a molecular weight of ca. 33 kDa was obtained in near-quantitative yield by mixing the two types of multi-terpyridine ligands with Fe2+. The supramolecular architecture was characterized by NMR (1H and 13C), 2D NMR (COSY and ROESY), and DOSY spectroscopies, high-resolution electrospray ionization mass spectrometry, traveling-wave ion mobility mass spectrometry, and transmission electron microscopy."
